Country Name,District Name,Area (sqm),Bedrooms,Bathrooms,Property Age (Years),Distance to Beirut (km),Quality Score,Price USD
Lebanon,,64.65962921289699,-0.0,0.0,90.87779552722486,19.90910700555228,-0.3909262513434306,2411.34185253107
Lebanon,Bekaa,,,,39.10033797509281,9.232178219848905,0.8797754252528702,98312.00049499908
Lebanon,Bekaa,108.64564543346583,0.0,-0.0,38.13387732887951,53.60792301469507,1.7275602727792996,-4667.465835221199
Lebanon,,128.3062086571312,1.0,-0.0,0.45674109108491606,34.10279106682784,0.10210506912641254,50801.157087839805
Lebanon,Bekaa,133.57242843374183,1.0,0.0,1.477919286474042,23.584768168661416,-0.9061204126171439,110865.52335797974
Lebanon,Nabatieh,109.3193992687276,4.0,3.0,1.2045418917520052,5.4587614097626656,3.5103425925746214,185202.39742368436
Lebanon,Nabatieh,176.84431593849706,2.0,1.0,35.96982752040758,34.07829647663108,-0.45634831336392034,97599.1548855455
Lebanon,Mount Lebanon,13.031191518140275,0.0,-1.0,1.953174185228402,30.408654023774787,0.839487324593766,-30550.223804519163
Lebanon,Beirut,119.99177430415196,2.0,1.0,3.0219487754792405,12.421154025429036,1.3108541889702128,191984.51756816878
Lebanon,North,84.27077941423012,-0.0,0.0,13.876933726583072,13.678455647478936,1.7291465655329477,104931.8709806405
Lebanon,Mount Lebanon,126.62567175717432,2.0,1.0,23.56813049666533,-2.4325279717390202,-0.7586927448483207,121432.17302954983
Lebanon,,131.03799189731393,3.0,2.0,56.939701309358995,19.26484146207449,3.7107290817212304,145681.02018455273
Lebanon,,74.40855617526054,1.0,-1.0,23.48258427494929,34.03956174185144,0.5504239876710344,86249.5113474919
Lebanon,Beirut,87.95255017322538,3.0,2.0,10.619257601245025,36.150085005714885,4.828680877857201,135299.15373164133
Lebanon,South,159.6293361625922,3.0,2.0,3.9347645663846804,29.554889232671258,0.8001791383259975,165707.21426326068
Lebanon,Nabatieh,137.45281343254928,3.0,1.0,25.998755165729914,33.380642572396255,4.348731089854348,89406.00484731095
Lebanon,Beirut,85.98757816987612,1.0,-1.0,6.9195770622088,11.233013452683808,1.1792625226151736,16167.294997309888
Lebanon,Nabatieh,221.99454796709713,4.0,3.0,32.34820874153872,13.088782823488827,3.7102748910183783,173574.13430260587
Lebanon,Beirut,235.4588824247541,6.0,4.0,9.797199664725827,39.31837946649698,2.4837130560969127,177524.80845411588
